iter	MultiClass
0	1.056307378
1	1.022423989
2	0.994203602
3	0.9708130741
4	0.9491210666
5	0.9296828776
6	0.9132138602
7	0.9002921625
8	0.8869860405
9	0.8771968445
10	0.867092535
11	0.8601384701
12	0.8518120378
13	0.8446771866
14	0.8409045103
15	0.8351456803
16	0.8314866235
17	0.826838424
18	0.8225997119
19	0.8207714549
20	0.8185513753
21	0.8149357663
22	0.8132692079
23	0.8112359915
24	0.8092051764
25	0.8067836617
26	0.8053576088
27	0.8030385469
28	0.8024007388
29	0.8004333445
30	0.7998503772
31	0.7992493345
32	0.7983691697
33	0.7975996521
34	0.7969335265
35	0.7963740656
36	0.7948486245
37	0.7942961272
38	0.793049646
39	0.7924562235
40	0.7913303173
41	0.7901472029
42	0.7897109584
43	0.7892978699
44	0.7888150198
45	0.7882606678
46	0.7880292451
47	0.7874487411
48	0.786950948
49	0.7862116363
50	0.7859019189
51	0.7855107805
52	0.784416311
53	0.7840899433
54	0.783830116
55	0.783572567
56	0.7832265553
57	0.7826046913
58	0.7812182449
59	0.7809046756
60	0.7806217088
61	0.7803182825
62	0.7800492392
63	0.7798019116
64	0.7796366288
65	0.779376538
66	0.7790929098
67	0.7787976771
68	0.7782098733
69	0.7778156693
70	0.7770071133
71	0.7766388053
72	0.7765001817
73	0.7762825318
74	0.7760220922
75	0.77574565
76	0.7751902891
77	0.7749887113
78	0.7747324809
79	0.7744535166
80	0.7742476252
81	0.7739788967
82	0.7736954006
83	0.7731712564
84	0.7728678778
85	0.7725668754
86	0.7719994765
87	0.7715421186
88	0.7712943621
89	0.7709867201
90	0.7706545308
91	0.7701415248
92	0.7699067697
93	0.7693821673
94	0.7691355769
95	0.7688601971
96	0.7683137869
97	0.7679443556
98	0.7676636494
99	0.7672635418
100	0.7668206422
101	0.766538926
102	0.7662722327
103	0.765969906
104	0.7656914904
105	0.7654723634
106	0.7653545237
107	0.7650204148
108	0.7647859966
109	0.764604727
110	0.76439485
111	0.7640048727
112	0.7637760378
113	0.7634640547
114	0.7633044512
115	0.7628576459
116	0.7625067104
117	0.7622676962
118	0.7620094694
119	0.761791372
120	0.7615920512
121	0.7613415339
122	0.7610536582
123	0.7607751515
124	0.7596990395
125	0.7594981822
126	0.7592765848
127	0.7590714018
128	0.7587811771
129	0.7585866791
130	0.7583263526
131	0.7580632256
132	0.7575495063
133	0.7570581842
134	0.7567677153
135	0.7566338347
136	0.7564747635
137	0.7562648052
138	0.7561757152
139	0.7559433934
140	0.7555782872
141	0.755253309
142	0.7550267189
143	0.7547490704
144	0.7545545882
145	0.7542347513
146	0.7541063241
147	0.7536976858
148	0.7533553718
149	0.7531200433
150	0.7528556768
151	0.7526220445
152	0.7523332446
153	0.7521076258
154	0.7518928715
155	0.7517410135
156	0.7514407187
157	0.7512135239
158	0.7509583498
159	0.7506466953
160	0.7503272669
161	0.7500389033
162	0.749831593
163	0.7496490782
164	0.7493370612
165	0.7490512753
166	0.7487569084
167	0.7484246678
168	0.7482476584
169	0.7479705976
170	0.7475427601
171	0.7472994535
172	0.7470225722
173	0.7467299245
174	0.7465879884
175	0.7463110648
176	0.7461115088
177	0.7459393693
178	0.745669896
179	0.7453186989
180	0.7449665085
181	0.744661802
182	0.7444435581
183	0.7441673336
184	0.7438104649
185	0.743508139
186	0.7433026637
187	0.7430216299
188	0.7427954197
189	0.7425709215
190	0.7423673824
191	0.7422498197
192	0.7418893581
193	0.7415654301
194	0.7412526573
195	0.7410160716
196	0.7406945856
197	0.7404344583
198	0.7402440467
199	0.7399077602
200	0.7396497785
201	0.7394328922
202	0.7391713171
203	0.7390325476
204	0.7388643824
205	0.7385951231
206	0.7383544111
207	0.7381851614
208	0.7378742355
209	0.7376710893
210	0.7374068918
211	0.7372906079
212	0.7370492912
213	0.7366816169
214	0.7365228544
215	0.7361945038
216	0.7360223885
217	0.7357804179
218	0.7356651846
219	0.7354475014
220	0.7352392763
221	0.7349800296
222	0.7347550693
223	0.734472445
224	0.7341817659
225	0.7340425656
226	0.7337063114
227	0.7334595628
228	0.733189952
229	0.7328756585
230	0.7326590128
231	0.732465753
232	0.7322897238
233	0.7320884964
234	0.7314787459
235	0.7313246224
236	0.7310263496
237	0.7307430041
238	0.7305331256
239	0.7302804309
240	0.7300023823
241	0.7298288484
242	0.729598187
243	0.7294195307
244	0.7292006592
245	0.7290008743
246	0.7288407429
247	0.7284919575
248	0.7283105542
249	0.7279899682
