iter	Passed	Remaining
407	6128	8891
408	6142	8876
409	6157	8861
410	6172	8845
411	6186	8829
412	6201	8813
413	6215	8798
414	6230	8782
415	6245	8767
416	6259	8750
417	6273	8734
418	6288	8719
419	6302	8703
420	6317	8688
421	6332	8673
422	6347	8658
423	6362	8643
424	6376	8627
425	6391	8611
426	6406	8597
427	6420	8580
428	6435	8565
429	6450	8550
430	6464	8534
431	6479	8519
432	6494	8504
433	6509	8489
434	6523	8473
435	6538	8457
436	6552	8442
437	6566	8426
438	6581	8410
439	6595	8394
440	6610	8378
441	6625	8363
442	6639	8348
443	6653	8332
444	6668	8317
445	6683	8302
446	6698	8287
447	6713	8272
448	6728	8256
449	6743	8241
450	6757	8226
451	6772	8210
452	6786	8195
453	6800	8179
454	6815	8163
455	6829	8147
456	6844	8132
457	6858	8116
458	6872	8100
459	6887	8085
460	6901	8069
461	6916	8053
462	6930	8038
463	6945	8023
464	6959	8007
465	6974	7991
466	6988	7976
467	7002	7960
468	7017	7945
469	7032	7930
470	7047	7915
471	7061	7899
472	7076	7884
473	7091	7869
474	7106	7854
475	7122	7840
476	7136	7824
477	7151	7809
478	7166	7794
479	7180	7778
480	7195	7763
481	7209	7747
482	7223	7732
483	7237	7716
484	7251	7700
485	7266	7685
486	7281	7669
487	7295	7654
488	7309	7638
489	7324	7623
490	7339	7608
491	7353	7592
492	7367	7577
493	7382	7561
494	7396	7546
495	7411	7531
496	7426	7516
497	7440	7500
498	7455	7485
499	7469	7469
500	7484	7454
501	7499	7440
502	7514	7425
503	7529	7410
504	7544	7394
505	7559	7379
506	7574	7365
507	7590	7351
508	7605	7336
509	7619	7320
510	7634	7306
511	7649	7291
512	7665	7276
513	7679	7261
514	7694	7246
515	7708	7230
516	7723	7215
517	7738	7200
518	7752	7185
519	7767	7170
520	7782	7154
521	7796	7139
522	7810	7123
523	7825	7108
524	7839	7093
525	7854	7077
526	7869	7063
527	7883	7047
528	7897	7031
529	7912	7016
530	7927	7001
531	7941	6986
532	7955	6970
533	7970	6955
534	7985	6940
535	7999	6925
536	8014	6910
537	8029	6894
538	8044	6880
539	8058	6864
540	8074	6850
541	8088	6835
542	8104	6820
543	8118	6805
544	8132	6789
545	8147	6774
546	8161	6759
547	8176	6744
548	8190	6728
549	8204	6712
550	8219	6697
551	8233	6682
552	8248	6667
553	8262	6651
554	8276	6636
555	8291	6620
556	8305	6605
557	8320	6590
558	8334	6574
559	8348	6559
560	8363	6544
561	8378	6530
562	8393	6515
563	8408	6500
564	8422	6484
565	8437	6469
566	8451	6454
567	8466	6439
568	8480	6423
569	8494	6408
570	8509	6393
571	8524	6378
572	8538	6362
573	8553	6347
574	8567	6332
575	8582	6317
576	8597	6302
577	8612	6287
578	8626	6272
579	8641	6257
580	8655	6242
581	8670	6227
582	8685	6212
583	8700	6197
584	8715	6182
585	8730	6167
586	8744	6152
587	8758	6137
588	8774	6122
589	8789	6107
590	8803	6092
591	8818	6077
592	8833	6062
593	8847	6047
594	8862	6032
595	8876	6016
596	8891	6001
597	8905	5986
598	8919	5971
599	8934	5956
600	8949	5941
601	8965	5927
602	8979	5912
603	8994	5896
604	9008	5881
605	9023	5866
606	9037	5851
607	9052	5836
608	9067	5821
609	9081	5806
610	9095	5790
611	9110	5776
612	9125	5761
613	9140	5746
614	9154	5731
615	9169	5716
616	9183	5700
617	9198	5685
618	9213	5670
619	9227	5655
620	9241	5640
621	9256	5625
622	9270	5610
623	9285	5594
624	9299	5579
625	9314	5565
626	9328	5549
627	9343	5534
628	9357	5519
629	9372	5504
630	9387	5489
631	9401	5474
632	9416	5459
633	9431	5444
634	9445	5429
635	9460	5414
636	9475	5399
637	9489	5384
638	9504	5369
639	9519	5354
640	9533	5339
641	9548	5324
642	9562	5309
643	9577	5294
644	9591	5279
645	9606	5264
646	9621	5249
647	9636	5234
648	9650	5219
649	9665	5204
650	9681	5190
651	9697	5175
652	9712	5161
653	9727	5146
654	9741	5130
655	9756	5115
656	9771	5101
657	9786	5086
658	9800	5071
659	9815	5056
660	9829	5041
661	9844	5026
662	9858	5011
663	9873	4996
664	9887	4980
665	9902	4965
666	9916	4950
667	9930	4935
668	9945	4920
669	9959	4905
670	9973	4890
671	9987	4874
672	10001	4859
673	10015	4844
674	10030	4829
675	10044	4814
676	10058	4798
677	10073	4783
678	10087	4768
679	10102	4753
680	10117	4739
